name	players	best_players	artists	mechanism	premium
アイザック	2人専用	2人	Emiliano "Wentu" Venturini Nestor Romeral Andres	アブストラクト タイル配置	0
アイスコールドアイスホッケー	2人専用	2人	Andrew S. Fischer	ハンドマネジメント	0
アウトロー：ラストマンスタンディング	2人専用	2人	Jeremy Pinget Arnaud Demaegd	ブラフ メモリー 秘匿配置	0
アッシリア	2~4人	4人	Emanuele Ornell Arnaud Demaegd	競り カードドラフト ハンドマネジメント ワーカープレイスメント	0
アミティス	2~4人	3人	Cyril Demaegd Arnaud Demaegd	エリアコントロール	0
アルヴィオル	2人専用	2人	Cedric Leclinche	アブストラクト グリッドムーブメント パターン構築	0
アルマデーラ	2~4人	4人	Christwart Conrad Tony Rochon	エリアコントロール エリアエンクロージャー タイル配置	0
囲碁	2人専用	2人	未詳	エリアエンクロージャー	0
イノベーション	2~4人	2人	Carl Chudyk Cara Judd	ハンドマネジメント	0
インカの黄金	3~8人	5,6人	Bruno Faidutti, Alan R. Moon Matthias Catrein, Paul Mafayon	プレス・ユア・ラック アクション同時解決	1
インジャワラ	1~6人	何人でも	Martino Chiacchiera, Adela Torre Guillermo Benitez, Adela Torre	協力ゲーム 投票 クイズ	0
インベンターズ	4~5人	5人	Frederic Henry Gael Lannurien	ワーカープレイスメント	0
エイト・マスターズ・リベンジ	2人専用	2人	Ludovic Roudy & Bruno Sautter Ludovic Roudy	行動プログラム ハンドマネジメント ヴァリアブルプレイヤーパワー	0
エヴォ: 名無しのゲーム	2または4人	2または4人	Giancarlo Rainelli Andre Luis Martins	エリア移動	0
エミネント・ドメイン	2~4人	3人	Seth Jaffee Gavan Brown, Eric J. Carter, Christine Conrad, Jeremy Deveraturda	カードドラフト ハンドマネジメント ヴァリアブルフェイズシステム	0
エルフェンランド	2~6人	4人	Alan R. Moon Doris Matthaus	カードドラフト ハンドマネジメント ポイント・トゥ・ポイント ルート構築	0
お邪魔者	2~10人 拡張導入で2~12人	7人 4人以下と偶数人は非推奨	Frederic Moyersoen Andrea Boekhoff	正体隠匿 チーム ハンドマネジメント ルート構築	0
オーヘル	3~7人	5~6人 3人は非推奨	未詳	トリックテイキング マストフォロー ビッド（競りなし）	0
オリジン	2~4人	4人	Andrea Mainini Carole Carrion	エリアコントロール エリアムーブメント ハンドマネジメント セットコレクション	0
カーソンシティ動物園の黙示録	2~4人	3,4人	Alexandre Droit, Florent Toscano Guillaume Griffon	グリッドムーブメント プレイヤーエリミネイション	0
ガイア	2~4人	3,4人	Olivier Rolko Julien Castanie	エリアマジョリティ カードドラフト ハンドマネジメント メモリー 可変ボード セットコレクション タイル配置	0
